fold,a_s_m2
2019,-2819142.748800
2019,549982.999928
2019,472353.076192
2019,624225.760841
2019,-803560.998176
2019,308723.948308
2019,69701.463004
2019,115548.676757
2019,492665.723091
2019,242832.733277
2019,-680167.604008
2019,644988.645504
2019,-911533.660800
2019,510319.530283
2019,607473.498890
2019,187246.802925
2019,555748.614611
2019,526760.236800
2019,-486599.438604
2019,-229874.435061
2019,-198553.788273
2019,216611.686161
2019,134529.148370
2019,202699.404847
2019,784765.250743
2019,508277.421474
2019,39072.874708
2019,465535.911032
2019,514509.998735
2019,452352.400660
2019,413780.240656
2019,489024.488842
2019,417018.520800
2019,396540.401546
2019,481585.006136
2019,116616.102738
2019,270780.326069
2019,1124852.589000
2019,146844.867600
2019,191549.177018
2019,392979.859200
2019,139671.274909
2019,-525134.433600
2019,461869.482991
2019,-81431.534191
2019,203789.798002
2019,546713.276073
2019,222162.572485
2019,517869.768668
2019,-305117.951370
2019,583748.917389
2019,210856.337563
2019,-111873.840768
2019,779067.317189
2019,737078.426585
2019,502617.059280
2019,475162.377347
2019,165944.698876
2019,185341.564800
2019,549662.855791
2019,516848.081806
2019,595437.310684
2019,438222.852366
2019,241759.362412
2019,214942.395476
2019,115727.627782
2019,-416271.978514
2019,323255.933322
2019,-238505.329440
2019,484279.572542
2019,165391.386178
2019,217826.953268
2019,589971.465216
2019,345000.519675
2019,1002212.658327
2019,323738.062200
2019,244127.185768
2019,411679.734616
2019,372456.733091
2019,240487.162961
2019,580411.742400
2019,349014.637771
2019,417571.840376
2019,-1056693.728039
2019,138975.041198
2019,-430331.450282
2019,471598.029112
2019,370147.150523
2019,87085.361729
2019,103907.346289
2019,803813.093587
2019,391611.650793
2019,448905.736392
2019,691606.303813
2019,719219.771235
2019,257024.037111
2019,677460.672000
2019,395070.177600
2019,514788.413236
2019,395748.773718
2019,-1649591.267874
2019,529342.394824
2019,349639.982505
2019,238736.364632
2019,588290.634831
2019,380896.639358
2019,593815.017600
2019,1407132.669600
2019,95361.767007
2019,515308.927304
2019,150787.968218
2019,-685244.377309
2019,-582907.161265
2019,169681.361779
2019,294270.379200
2019,315300.930271
2019,349256.605331
2019,1064971.783096
2019,481718.419450
2019,467389.178935
2019,176222.929461
2019,1031294.303271
2019,1324425.738240
2019,261007.324541
2019,719658.351684
2019,226134.445091
2019,-2331401.788800
2019,-805991.936400
2019,320547.896037
2019,-39937.377431
2019,247643.570445
2019,331821.188594
2019,351986.392800
2019,193742.315612
2019,-172210.077415
2019,622140.691200
2019,563490.117257
2019,145520.522038
2019,320750.045180
2019,429633.349284
2019,151668.236160
2019,270108.807556
2019,479836.192717
2019,69539.305188
2019,212515.704000
2019,332736.882912
2019,219483.432000
2019,286645.362192
2019,477897.861893
2019,803523.491298
2019,502577.631119
2019,105459.112449
2019,586885.395142
2019,-299397.912369
2019,90769.419336
2019,282746.303576
2019,-857488.695978
2019,565323.680927
2019,286355.830856
2019,411854.204753
2019,-368515.392000
2019,698064.378849
2019,420641.062882
2019,124919.362069
2019,262177.469458
2019,106724.215849
2019,245737.431043
2019,294767.386396
2019,252136.825426
2019,712882.187136
2019,81180.365498
2019,208335.067200
2019,407793.854817
2019,-205592.075544
2019,166263.555568
2019,971015.858198
2019,148701.923826
2019,774836.923244
2019,2288353.347548
2019,246630.886284
2019,758699.822548
2019,1866171.950031
2019,619132.081192
2019,931502.565641
2019,424806.642581
2019,464329.393920
2019,434375.371514
2019,290245.849967
2019,338086.280348
2019,389052.083497
2019,283072.089869
2019,361531.136306
2019,141022.425600
2019,358760.572800
2019,364022.719934
2019,1211548.544640
2019,683169.422951
2019,298196.031047
2019,421408.189440
2019,297061.852619
2019,758437.192800
2019,231548.603116
2019,162488.162172
2019,280263.459323
2019,643993.303473
2019,422865.022700
2019,910012.075754
2019,128432.707912
2019,288325.098863
2019,454349.463508
2019,249891.032475
2019,247021.104835
2019,300143.593260
2019,186784.197923
2020,323808.110104
2020,426683.017600
2020,489117.324901
2020,305946.602182
2020,594612.342032
2020,-625666.694765
2020,768606.131683
2020,559776.547938
2020,272552.560334
2020,1412165.741208
2020,310604.712433
2020,399185.491950
2020,198408.365055
2020,265353.003182
2020,147874.191055
2020,292411.393071
2020,152930.391329
2020,542478.700926
2020,417356.187618
2020,367155.825899
2020,2031569.451284
2020,175286.083364
2020,685341.959741
2020,335251.267418
2020,434253.125863
2020,1293263.914708
2020,520064.132095
2020,507947.371200
2020,372456.733091
2020,407503.343112
2020,319216.703501
2020,768192.012000
2020,443587.567832
2020,384970.055065
2020,236960.816400
2020,-298661.567282
2020,542885.550171
2020,457883.668084
2020,167919.202124
2020,149595.286547
2020,267810.059229
2020,297189.525435
2020,247395.998896
2020,703224.916128
2020,778520.644094
2020,269306.171064
2020,289748.093848
2020,942851.362817
2020,304306.352337
2020,557975.658240
2020,302770.300873
2020,502273.649829
2020,198736.241910
2020,382255.616974
2020,520587.265275
2020,432056.015412
2020,386106.979853
2020,549536.346086
2020,447154.846955
2020,389157.562697
2020,1121947.661224
2020,492361.663832
2020,475848.098236
2020,553505.237785
2020,259389.510545
2020,-172570.942718
2020,168897.726720
2020,189920.357486
2020,417656.024544
2020,388652.533389
2020,-380437.948800
2020,284113.608655
2020,303067.533501
2020,836002.564872
2020,270778.436333
2020,683690.890680
2020,766844.687962
2020,505715.648908
2020,451239.055897
2020,671767.268279
2020,304776.360638
2020,-508903.957586
2020,416126.311727
2020,588215.597760
2020,633277.314700
2020,525773.794409
2020,408626.507224
2020,267799.247903
2020,153373.964530
2020,193145.420160
2020,-378704.484757
2020,433904.903766
2020,630092.259653
2020,398905.810392
2020,309652.978708
2020,312069.019472
2020,527537.169303
2020,-493496.909217
2020,280379.896157
2020,608810.117921
2020,216720.703485
2020,274294.102587
2020,-140228.866692
2020,444208.259391
2020,321346.255569
2020,632928.966698
2020,166290.976715
2020,564695.644800
2020,-134870.978504
2020,268278.461088
