date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2018-08-27,95,0,5.646628,5.643970,5.649320
2018-08-28,96,1,5.646305,5.643040,5.650050
2018-08-29,96,1,5.646726,5.643637,5.649579
2018-08-30,96,1,5.647296,5.644840,5.650171
2018-08-31,96,1,5.647756,5.644774,5.650587
2018-09-01,96,1,5.647470,5.644421,5.650348
2018-09-02,96,1,5.648398,5.645205,5.650757
2018-09-03,68,0,5.647443,5.644905,5.651505
2018-09-04,66,0,5.647980,5.644279,5.651079
2018-09-05,96,1,5.647137,5.644720,5.652961
2018-09-06,96,1,5.646930,5.645433,5.652980
2018-09-07,96,1,5.650994,5.649460,5.653692
2018-09-08,96,1,5.653047,5.649796,5.655152
2018-09-09,96,1,5.642025,5.639743,5.644991
2018-09-10,66,0,5.643726,5.640727,5.647506
2018-09-11,66,0,5.647181,5.644630,5.649529
2018-09-12,96,1,5.648018,5.643782,5.650807
2018-09-13,96,1,5.647402,5.646743,5.651074
2018-09-14,96,1,5.653388,5.650050,5.654278
2018-09-15,96,1,5.652257,5.649371,5.655121
2018-09-16,96,1,5.641746,5.640118,5.643827
2018-09-17,66,0,5.644166,5.642153,5.646239
2018-09-18,66,0,5.645859,5.643653,5.648153
2018-09-19,30,0,5.647900,5.645179,5.649075
2018-09-20,20,0,5.652066,5.650430,5.653866
2018-09-21,96,1,5.651659,5.649565,5.653711
2018-09-22,96,1,5.651032,5.642394,5.654963
2018-09-23,96,1,5.639697,5.638223,5.641984
2018-09-24,96,1,5.645253,5.643223,5.647790
2018-09-25,96,1,5.646666,5.644609,5.648724
2018-09-26,96,1,5.647411,5.645693,5.650011
2018-09-27,96,1,5.650182,5.648313,5.652482
2018-09-28,96,1,5.653039,5.650634,5.654066
2018-09-29,96,1,5.646689,5.643243,5.653264
2018-09-30,96,1,5.643722,5.641372,5.645691
2018-10-01,60,0,5.645125,5.638636,5.649523
2018-10-02,35,0,5.646651,5.641337,5.648689
2018-10-03,96,1,5.648495,5.640487,5.663526
2018-10-04,96,1,5.646757,5.643797,5.650188
