z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
4.04000,265844,0.0024676594,0.965020,0.260987,24.097767,0.117069
4.04500,265844,0.0025160433,0.964264,0.257162,24.069888,0.117069
4.05000,265837,0.0030236529,0.956893,0.227348,23.809495,0.119415
4.05500,265835,0.0025560539,0.963647,0.253396,24.046591,0.119563
4.06000,265821,0.0025127301,0.964340,0.255802,24.071122,0.122146
4.06500,265821,0.0025651056,0.963527,0.251763,24.041259,0.122146
4.07000,265811,0.0030414908,0.956617,0.224131,23.797899,0.124844
4.07500,265809,0.0025910857,0.963126,0.248950,24.025879,0.124909
4.08000,265795,0.0032405464,0.953732,0.211755,23.695955,0.127561
4.08500,265792,0.0025769369,0.963354,0.248765,24.033056,0.127701
4.09000,265781,0.0025512475,0.963756,0.249885,24.047060,0.130615
4.09500,265781,0.0025998090,0.962999,0.246105,24.019289,0.130615
4.10000,265771,0.0025850403,0.963241,0.246527,24.027421,0.133419
4.10500,265771,0.0026405682,0.962380,0.242341,23.995991,0.133525
4.11000,265754,0.0025862171,0.963243,0.245386,24.026564,0.136322
4.11500,265754,0.0026365674,0.962461,0.241527,23.997960,0.136367
4.12000,265741,0.0026031460,0.962985,0.243112,24.016222,0.139549
4.12500,265741,0.0026519227,0.962226,0.239353,23.988459,0.139549
4.13000,265731,0.0026418450,0.962384,0.239434,23.993714,0.142667
4.13500,265731,0.0027007613,0.961471,0.235082,23.960549,0.142667
4.14000,265710,0.0026312050,0.962580,0.239075,23.999775,0.145783
4.14500,265710,0.0026818259,0.961791,0.235221,23.971015,0.145791
4.15000,265696,0.0026511800,0.962297,0.236693,23.988591,0.148963
4.15500,265696,0.0027028591,0.961492,0.232789,23.959303,0.148963
4.16000,265682,0.0029006599,0.958663,0.221659,23.859947,0.151640
4.16500,265681,0.0027234729,0.961209,0.230441,23.948251,0.151919
4.17000,265665,0.0026861078,0.961806,0.232288,23.969172,0.155101
4.17500,265665,0.0027421384,0.960936,0.228156,23.937626,0.155101
4.18000,265644,0.0026810910,0.961937,0.231606,23.972861,0.157839
4.18500,265644,0.0027318275,0.961148,0.227798,23.944188,0.157993
4.19000,265627,0.0029084417,0.958641,0.218122,23.856609,0.160793
4.19500,265626,0.0027302988,0.961225,0.226870,23.945943,0.160933
4.20000,265611,0.0026925905,0.961834,0.228697,23.967224,0.164214
4.20500,265611,0.0027326491,0.961211,0.225548,23.944449,0.164214
4.21000,265603,0.0029402920,0.958190,0.213813,23.838399,0.167773
4.21500,265602,0.0027663826,0.960691,0.222199,23.924944,0.167770
4.22000,265593,0.0027627272,0.960751,0.221818,23.926672,0.171379
4.22500,265593,0.0028104631,0.960009,0.218242,23.899775,0.171390
